,name,url,position,score,hometown,offers,state
15,Josh Minkins Jr.,https://247sports.com/player/josh-minkins-jr-46052610,S ,0.8532," Ballard (Louisville, KY)    ","['Louisville', 'Akron', 'Arkansas State', 'Austin Peay', 'Ball State', 'Bowling Green', 'Central Michigan', 'Eastern Illinois', 'Kent State', 'Kentucky', 'Marshall', 'Miami (OH)', 'Middle Tennessee State', 'Old Dominion', 'Rutgers', 'Temple', 'Toledo', 'Tulane', 'UAB', 'Western Kentucky', 'Western Michigan', 'Youngstown State', 'Arkansas', 'Indiana', 'Purdue']",KY
16,Luke Kandra,https://247sports.com/player/luke-kandra-46056468,OG ,0.8532," Elder (Cincinnati, OH)    ","['Louisville', 'Indiana', 'Ball State', 'Boston College', 'Bowling Green', 'Buffalo', 'Cincinnati', 'Purdue', 'Toledo']",OH
17,Dexter Rentz Jr.,https://247sports.com/player/dexter-rentz-jr-46058594,ATH ,0.8485," Ocoee (Ocoee, FL)    ","['Louisville', 'Austin Peay', 'Bethune-Cookman', 'Charlotte', 'Cincinnati', 'Coastal Carolina', 'Colorado State', 'Connecticut', 'Eastern Kentucky', 'FIU', 'Georgia State', 'Indiana', 'Kent State', 'Kentucky', 'Liberty', 'Louisiana', 'Marshall', 'Mercer', 'Middle Tennessee State', 'Pittsburgh', 'Purdue', 'Rutgers', 'South Dakota', 'Toledo', 'Troy', 'Tulsa', 'USF', 'Western Carolina', 'Western Kentucky']",FL
18,Nick Malito,https://247sports.com/player/nick-malito-46085741,WR ,0.8444," Girard (Girard, OH)    ","['Louisville', 'Toledo', 'Air Force', 'Bowling Green', 'Fordham', 'Harvard', 'Kent State', 'Yale', 'Youngstown State']",OH
19,Braden Smith,https://247sports.com/player/braden-smith-94456,WR ,0.844," Northwest Mississippi C.C. (Senatobia, MS)    ","['Louisville', 'Western Michigan', 'Austin Peay', 'Louisiana']",MS
20,Dezmond Tell,https://247sports.com/player/dezmond-tell-46083342,DT ,0.8403," Dutchtown (Hampton, GA)  ","['Louisville', 'Central Michigan', 'Chattanooga', 'Coastal Carolina', 'East Tennessee State', 'Eastern Kentucky', 'Jackson State', 'Jacksonville State', 'Murray State', 'Ohio', 'South Alabama', 'Southeast Missouri State', 'Southern University', 'Tennessee State', 'UT Martin', 'Appalachian State', 'Georgia State', 'Georgia Tech', 'Tennessee', 'Troy', 'Tulane']",GA
21,Austin Collins,https://247sports.com/player/austin-collins-46057135,OG ,0.8356," Perrysburg (Perrysburg, OH)  ","['Louisville', 'Ball State', 'Bowling Green', 'Eastern Michigan', 'Miami (OH)', 'Toledo', 'UAB', 'Western Kentucky', 'Western Michigan', 'Kentucky', 'Miami (OH)', 'Wake Forest']",OH
22,Desmond Daniels,https://247sports.com/player/desmond-daniels-46081039,TE ,0.8342," Langston Hughes (Fairburn, GA)  ","['Louisville', 'Akron', 'Albany State University', 'Eastern Kentucky', 'Florida Atlantic', 'Georgia Southern', 'Indiana', 'Maryland', 'Southeast Missouri State', 'Syracuse', 'UAB']",GA
23,Duane Martin,https://247sports.com/player/duane-martin-46081253,ATH ,0.8336," Laurens Dist 55 (Laurens, SC)    ","['Louisville', 'East Carolina', 'Coastal Carolina', 'Wofford']",SC
24,Brock Travelstead,https://247sports.com/player/brock-travelstead-46085618,K ,0.8201," North Paulding (Dallas, GA)    ","['Louisville', 'Air Force', 'Army', 'Chattanooga', 'Massachusetts', 'South Alabama', 'Wyoming', 'Miami (OH)']",GA
